team,rating
Frankfurt,770
Napoli,750
RB Leipzig,830
Manchester City,1310
AC Milan,420
Tottenham Hotspur,790
Borussia Dortmund,840
Chelsea,1230
Inter,830
FC Porto,800
Club Brugge,540
SL Benfica,760
PSG,1120
Bayern Munchen,1300
Liverpool,1230
Real Madrid,1100
